PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene
42.75 ,92.85 ,2.61 ,42.96 ,24.89 ,8.43 ,0.55 ,5.06 ,27.18 ,2.01 ,12.90 
73.33 ,196.98 ,9.84 ,35.25 ,37.61 ,26.40 ,3.18 ,9.55 ,64.88 ,2.10 ,4.54 
13.80 ,26.71 ,4.93 ,2.80 ,6.93 ,3.61 ,1.08 ,3.11 ,28.83 ,0.06 ,0.23 
45.67 ,166.67 ,30.28 ,41.33 ,100.86 ,21.69 ,0.86 ,11.98 ,36.10 ,1.23 ,5.83 
46.75 ,104.25 ,16.58 ,57.17 ,43.88 ,12.95 ,0.84 ,25.17 ,27.35 ,6.05 ,15.55 
17.78 ,43.03 ,18.21 ,56.82 ,75.02 ,0.82 ,0.47 ,1.23 ,4.53 ,9.70 ,6.32 
102.70 ,256.40 ,5.26 ,26.51 ,28.30 ,21.85 ,1.15 ,11.76 ,81.84 ,3.70 ,10.22 
16.25 ,48.50 ,1.78 ,15.04 ,4.72 ,3.52 ,0.13 ,7.48 ,25.59 ,0.15 ,1.02 
197.75 ,157.87 ,38.91 ,53.01 ,72.19 ,22.67 ,2.05 ,4.74 ,34.71 ,2.14 ,6.92 
32.97 ,73.08 ,7.99 ,10.02 ,18.25 ,12.00 ,0.46 ,9.23 ,20.89 ,1.51 ,1.23 
22.00 ,73.80 ,7.84 ,26.44 ,19.25 ,11.12 ,0.44 ,5.18 ,30.52 ,2.26 ,11.36 
39.68 ,79.64 ,20.88 ,23.09 ,36.96 ,11.19 ,0.98 ,5.87 ,10.96 ,2.26 ,1.12 
28.00 ,59.75 ,2.38 ,8.68 ,6.55 ,26.55 ,1.23 ,9.55 ,53.40 ,0.10 ,0.10 
29.22 ,72.77 ,15.17 ,28.82 ,36.80 ,17.18 ,1.17 ,7.43 ,20.91 ,0.66 ,1.64 
248.66 ,342.60 ,77.68 ,59.54 ,148.26 ,76.09 ,1.90 ,23.65 ,117.70 ,14.12 ,41.01 
17.22 ,61.52 ,2.23 ,11.51 ,11.46 ,16.46 ,0.33 ,10.20 ,33.33 ,0.32 ,1.90 
10.09 ,18.57 ,4.79 ,11.37 ,16.16 ,8.31 ,0.38 ,3.87 ,30.07 ,15.52 ,15.98 
39.00 ,72.35 ,6.28 ,21.65 ,26.76 ,31.05 ,0.50 ,10.47 ,24.88 ,12.49 ,19.89 
48.19 ,147.31 ,13.59 ,9.92 ,22.36 ,11.47 ,0.68 ,8.89 ,5.26 ,1.27 ,1.50 
5.00 ,27.00 ,1.15 ,21.73 ,12.50 ,10.78 ,0.48 ,15.00 ,19.73 ,0.08 ,1.12 
61.88 ,225.91 ,8.56 ,27.07 ,29.94 ,33.25 ,0.66 ,27.14 ,44.52 ,2.04 ,1.42 
71.02 ,189.04 ,13.39 ,60.84 ,47.03 ,26.35 ,1.22 ,26.84 ,32.36 ,3.69 ,26.85 
34.83 ,85.05 ,2.18 ,43.49 ,24.87 ,20.31 ,0.52 ,16.05 ,29.26 ,0.36 ,4.65 
97.00 ,137.25 ,36.38 ,102.62 ,84.18 ,15.97 ,1.46 ,8.35 ,5.90 ,0.10 ,0.10 
60.92 ,135.89 ,32.89 ,46.49 ,78.35 ,25.65 ,1.06 ,13.73 ,64.29 ,1.56 ,3.65 
71.75 ,112.75 ,1.05 ,16.80 ,9.50 ,11.80 ,0.91 ,5.00 ,86.60 ,2.27 ,2.87 
41.25 ,85.50 ,2.77 ,6.50 ,5.75 ,11.27 ,0.66 ,1.97 ,28.42 ,0.05 ,2.02 
292.53 ,414.55 ,49.94 ,84.71 ,94.19 ,59.98 ,1.94 ,10.95 ,25.82 ,6.40 ,30.08 
45.00 ,70.96 ,4.90 ,24.91 ,29.82 ,16.78 ,0.50 ,2.09 ,14.56 ,4.42 ,8.18 
48.13 ,148.89 ,27.35 ,67.15 ,69.99 ,43.84 ,1.48 ,19.59 ,25.68 ,5.32 ,30.53 
40.71 ,125.70 ,6.57 ,39.28 ,26.03 ,22.20 ,0.18 ,3.93 ,13.49 ,2.03 ,1.35 
24.09 ,48.47 ,7.74 ,9.75 ,17.49 ,10.27 ,0.26 ,14.14 ,14.97 ,4.55 ,1.17 
67.35 ,134.54 ,7.24 ,15.57 ,21.40 ,14.34 ,0.53 ,15.95 ,76.13 ,0.73 ,4.80 
33.75 ,115.50 ,5.97 ,18.65 ,14.78 ,16.32 ,0.36 ,1.98 ,19.17 ,2.75 ,3.75 
19.19 ,54.88 ,17.23 ,13.04 ,26.53 ,12.63 ,0.71 ,5.96 ,43.77 ,1.30 ,1.10 
74.46 ,86.22 ,3.38 ,20.72 ,18.52 ,18.35 ,1.13 ,4.08 ,38.24 ,0.15 ,1.07 
